time,x,y,z
4.650000000000000355e+00,-1.035049891427718549e+01,-1.047764085424258340e+01,2.919827189694520797e+01
4.679999999999999716e+00,-1.027878141057093409e+01,-9.674623443936408052e+00,2.996088164388308428e+01
4.709999999999999964e+00,-9.994603986393283179e+00,-8.729135896623716917e+00,3.035211183333582241e+01
4.740000000000000213e+00,-9.535295363840228688e+00,-7.781192791642945750e+00,3.034246548548829381e+01
4.770000000000000462e+00,-8.963103880123913569e+00,-6.952082370717216797e+00,2.996963130077530124e+01
4.799999999999999822e+00,-8.350012938562768383e+00,-6.319939733251962899e+00,2.931493154839677828e+01
4.830000000000000071e+00,-7.763059814172887485e+00,-5.916375158006458079e+00,2.847477922693320807e+01
4.860000000000000320e+00,-7.254916115220331641e+00,-5.738192654216268451e+00,2.753993150488760122e+01
4.889999999999999680e+00,-6.860830620366082044e+00,-5.763662248980204517e+00,2.658632040321550249e+01
4.919999999999999929e+00,-6.600294073206131706e+00,-5.965739746786085540e+00,2.567463018922465068e+01
4.950000000000000178e+00,-6.480919588571480539e+00,-6.319485182029229264e+00,2.485410097018255371e+01
4.980000000000000426e+00,-6.502468016461633304e+00,-6.804110628706112607e+00,2.416721225424832653e+01
5.009999999999999787e+00,-6.659786531224677120e+00,-7.401140468645904136e+00,2.365348916377144661e+01
5.040000000000000036e+00,-6.944131782577877665e+00,-8.090040428260465433e+00,2.335158138285003915e+01
5.070000000000000284e+00,-7.342785565109752000e+00,-8.842322005585888434e+00,2.329893682217876361e+01
5.100000000000000533e+00,-7.837143608418106311e+00,-9.615152169901833190e+00,2.352817960190795432e+01
5.129999999999999893e+00,-8.399753387845095176e+00,-1.034618768131377919e+01,2.405921114202532607e+01
5.160000000000000142e+00,-8.991265959597509294e+00,-1.095265284467116373e+01,2.488677585077192589e+01
5.190000000000000391e+00,-9.558978334670751309e+00,-1.133883201483199876e+01,2.596554717749082286e+01
5.219999999999999751e+00,-1.003925779458340983e+01,-1.141531715299220728e+01,2.719880245717822120e+01
5.250000000000000000e+00,-1.036584620774177345e+01,-1.112828783070314387e+01,2.844038733019636211e+01
5.280000000000000249e+00,-1.048390110287901145e+01,-1.048811005913894157e+01,2.951806062893072635e+01
5.310000000000000497e+00,-1.036580386328301451e+01,-9.579999032103794221e+00,3.027560473916927464e+01
5.339999999999999858e+00,-1.002168179004218374e+01,-8.545007433768800453e+00,3.061611754419809373e+01
5.370000000000000107e+00,-9.498671317101152312e+00,-7.537825387314644132e+00,3.052376767807416869e+01
5.400000000000000355e+00,-8.868677412238008984e+00,-6.683844784848015586e+00,3.005426147715530050e+01
5.429999999999999716e+00,-8.210548979551440141e+00,-6.056165991114086822e+00,2.930440732351954480e+01
5.459999999999999964e+00,-7.594377140368649748e+00,-5.677055264405717061e+00,2.838013903114892145e+01
5.490000000000000213e+00,-7.072617633671935522e+00,-5.534243532756027761e+00,2.737604606706943855e+01
5.520000000000000462e+00,-6.678347642614696156e+00,-5.599638987719048444e+00,2.636829536068570334e+01
5.549999999999999822e+00,-6.428239040973172891e+00,-5.842965317844900142e+00,2.541634047560199505e+01
5.580000000000000071e+00,-6.327340326956779393e+00,-6.238498167065522182e+00,2.456815944132067386e+01
5.610000000000000320e+00,-6.373533542695943410e+00,-6.766105759488512561e+00,2.386569224037634029e+01
5.639999999999999680e+00,-6.560532118349484243e+00,-7.408437819556715098e+00,2.334897168027756820e+01
5.669999999999999929e+00,-6.879009472507131129e+00,-8.145669033829943118e+00,2.305827691297718829e+01
5.700000000000000178e+00,-7.315844525925527364e+00,-8.948723780592381161e+00,2.303364212771200314e+01
5.730000000000000426e+00,-7.851702816294632292e+00,-9.771969364266590574e+00,2.331067333169155020e+01
5.759999999999999787e+00,-8.457469688321243240e+00,-1.054725779567762167e+01,2.391143422968935894e+01
5.790000000000000036e+00,-9.090618145088187774e+00,-1.118285333659907899e+01,2.482997893868834893e+01
5.820000000000000284e+00,-9.693461498286014333e+00,-1.157228182853570075e+01,2.601491938580325325e+01
5.850000000000000533e+00,-1.019600941544425687e+01,-1.161715002295340859e+01,2.735638758464810394e+01
5.879999999999999893e+00,-1.052578172215686436e+01,-1.126161912812863797e+01,2.868921244113928992e+01
5.910000000000000142e+00,-1.062424814538557172e+01,-1.052499615224217600e+01,2.982177127584236231e+01
5.940000000000000391e+00,-1.046484517214427257e+01,-9.511372272960434415e+00,3.058610376832463373e+01
5.969999999999999751e+00,-1.006400385011529508e+01,-8.383558164006627678e+00,3.088661201584026372e+01
6.000000000000000000e+00,-9.478541939114030868e+00,-7.311946546324699980e+00,3.072045971132649456e+01
6.030000000000000249e+00,-8.790156389630801925e+00,-6.426756756296678752e+00,3.016111985976618470e+01
6.060000000000000497e+00,-8.084807300073229896e+00,-5.796504838441375540e+00,2.932072480953884153e+01
6.089999999999999858e+00,-7.435920822427198651e+00,-5.434463658175840983e+00,2.831458917347094584e+01
6.120000000000000107e+00,-6.896031529795317638e+00,-5.319611154248234719e+00,2.724107724055560098e+01
6.150000000000000355e+00,-6.496340213130237906e+00,-5.417764191820485742e+00,2.617663277427027779e+01
6.179999999999999716e+00,-6.250980436875788193e+00,-5.695628176536816412e+00,2.517957150094057894e+01
6.209999999999999964e+00,-6.162696159245985683e+00,-6.126898431526336175e+00,2.429669760890331531e+01
6.240000000000000213e+00,-6.227744091309369345e+00,-6.692379148664644894e+00,2.356948109394721413e+01
6.270000000000000462e+00,-6.438984983531367945e+00,-7.376293021100713609e+00,2.303856076507085149e+01
6.299999999999999822e+00,-6.786864117165718469e+00,-8.160204536630056182e+00,2.274608740564139708e+01
6.330000000000000071e+00,-7.258329843680793481e+00,-9.015360990615333137e+00,2.273524844051838301e+01
6.360000000000000320e+00,-7.833921741870670807e+00,-9.894333023189808785e+00,2.304574403008392736e+01
6.390000000000000568e+00,-8.483548688573844032e+00,-1.072392577257264890e+01,2.370362985186762472e+01
6.419999999999999929e+00,-9.162117271296136067e+00,-1.140340575756513708e+01,2.470475986609689301e+01
6.450000000000000178e+00,-9.807223594971580027e+00,-1.181411597624045484e+01,2.599432155334193695e+01
6.480000000000000426e+00,-1.034212690384954314e+01,-1.184566895685226129e+01,2.745105251231661470e+01
6.509999999999999787e+00,-1.068690061711225781e+01,-1.143630144571836205e+01,2.889048693348863850e+01
6.540000000000000036e+00,-1.077745108296760002e+01,-1.061100468133214036e+01,3.009893054526616041e+01
6.570000000000000284e+00,-1.058630092873036865e+01,-9.491615570318769457e+00,3.089254159496791274e+01
6.600000000000000533e+00,-1.013477344583970208e+01,-8.263959235660591318e+00,3.117320026967290403e+01
6.629999999999999893e+00,-9.488866423647445814e+00,-7.116710747579530150e+00,3.094880712586995131e+01
6.660000000000000142e+00,-8.740389779145999682e+00,-6.187450848664474812e+00,3.030999064063034609e+01
6.690000000000000391e+00,-7.983208152149498638e+00,-5.541840048019074594e+00,2.938459029978509562e+01
6.719999999999999751e+00,-7.294993965235431865e+00,-5.185011740490730325e+00,2.829801662913332549e+01
6.750000000000000000e+00,-6.729163576316631534e+00,-5.087423101763716815e+00,2.715308073217464724e+01
6.780000000000000249e+00,-6.315644107246147776e+00,-5.208701983530928281e+00,2.602698823740989553e+01
6.810000000000000497e+00,-6.066433914212995937e+00,-5.512344270761733611e+00,2.497718465788156905e+01
6.839999999999999858e+00,-5.982229337577336992e+00,-5.971360154146852395e+00,2.404937064397083901e+01
6.870000000000000107e+00,-6.057853145426309815e+00,-6.567614997238046648e+00,2.328447434654655268e+01
6.900000000000000355e+00,-6.285533098957053255e+00,-7.287382649509253518e+00,2.272362707845046259e+01
6.929999999999999716e+00,-6.655832970096429158e+00,-8.114548492600354379e+00,2.241086836072300059e+01
6.959999999999999964e+00,-7.156336184850133897e+00,-9.022104221158322446e+00,2.239296214173077004e+01
6.990000000000000213e+00,-7.768300516813334333e+00,-9.962614240774115615e+00,2.271491763366223182e+01
7.020000000000000462e+00,-8.461755491183211575e+00,-1.085956493441182324e+01,2.340920048549015320e+01
7.049999999999999822e+00,-9.190202778345163637e+00,-1.160402553249751811e+01,2.447726089804357485e+01
7.080000000000000071e+00,-9.887331694375140145e+00,-1.206385027936972953e+01,2.586552226369389373e+01
7.110000000000000320e+00,-1.046951776800963074e+01,-1.211239339174605334e+01,2.744527487704264246e+01
